"code_bss";"urn_bss";"timestamp_mesure";"niveau_eau_ngf";"longitude";"latitude";"bss_id";"altitude_station";"altitude_repere";"date_mesure";"profondeur_nappe";"date_maj"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1771016400000";"100.065";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-13T21:00:00Z";"19.625";"2026-02-14"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1771012800000";"100.064";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-13T20:00:00Z";"19.626";"2026-02-14"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1771009200000";"100.05799999999999";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-13T19:00:00Z";"19.632";"2026-02-14"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1771005600000";"100.056";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-13T18:00:00Z";"19.634";"2026-02-14"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1771002000000";"100.056";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-13T17:00:00Z";"19.634";"2026-02-14"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1770998400000";"100.048";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-13T16:00:00Z";"19.642";"2026-02-14"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1770994800000";"100.042";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-13T15:00:00Z";"19.648";"2026-02-14"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1770991200000";"100.035";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-13T14:00:00Z";"19.655";"2026-02-14"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1770987600000";"100.019";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-13T13:00:00Z";"19.671";"2026-02-14"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1770984000000";"100.009";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-13T12:00:00Z";"19.681";"2026-02-14"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1770980400000";"99.993";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-13T11:00:00Z";"19.697";"2026-02-14"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1770976800000";"99.985";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-13T10:00:00Z";"19.705";"2026-02-14"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1770973200000";"99.973";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-13T09:00:00Z";"19.717";"2026-02-14"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1770969600000";"99.963";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-13T08:00:00Z";"19.727";"2026-02-14"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1770966000000";"99.954";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-13T07:00:00Z";"19.736";"2026-02-14"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1770962400000";"99.943";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-13T06:00:00Z";"19.747";"2026-02-14"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1770958800000";"99.928";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-13T05:00:00Z";"19.762";"2026-02-14"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1770955200000";"99.907";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-13T04:00:00Z";"19.783";"2026-02-13"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1770951600000";"99.89099999999999";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-13T03:00:00Z";"19.799";"2026-02-13"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1770948000000";"99.876";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-13T02:00:00Z";"19.814";"2026-02-13"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1770944400000";"99.866";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-13T01:00:00Z";"19.824";"2026-02-13"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1770940800000";"99.858";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-13T00:00:00Z";"19.832";"2026-02-13"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1770937200000";"99.847";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-12T23:00:00Z";"19.843";"2026-02-13"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1770933600000";"99.84299999999999";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-12T22:00:00Z";"19.847";"2026-02-13"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1770930000000";"99.839";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-12T21:00:00Z";"19.851";"2026-02-13"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1770926400000";"99.836";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-12T20:00:00Z";"19.854";"2026-02-13"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1770922800000";"99.834";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-12T19:00:00Z";"19.856";"2026-02-13"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1770919200000";"99.835";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-12T18:00:00Z";"19.855";"2026-02-13"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1770915600000";"99.835";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-12T17:00:00Z";"19.855";"2026-02-13"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1770912000000";"99.839";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-12T16:00:00Z";"19.851";"2026-02-13"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1770908400000";"99.839";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-12T15:00:00Z";"19.851";"2026-02-13"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1770904800000";"99.84299999999999";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-12T14:00:00Z";"19.847";"2026-02-13"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1770901200000";"99.844";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-12T13:00:00Z";"19.846";"2026-02-13"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1770897600000";"99.839";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-12T12:00:00Z";"19.851";"2026-02-13"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1770894000000";"99.839";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-12T11:00:00Z";"19.851";"2026-02-13"
